,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y,string
0,Lund_01611,Town,Landmark,City,Building,Human settlement,Street,Architecture,Road,Neighbourhood,Plaza,[T TV HTET 3 T,a Abubakar M, Aug 2017,"Town,Landmark,City,Building,Human settlement,Street,Architecture,Road,Neighbourhood,Plaza"
1,Lund_02579,Nature,Natural landscape,Land lot,Tree,Atmospheric phenomenon,Natural environment,Pasture,Grass,Nature reserve,Rural area,Nobbelbvs mosse,Q Peter Nordensva, Aug 2018,"Nature,Natural landscape,Land lot,Tree,Atmospheric phenomenon,Natural environment,Pasture,Grass,Nature reserve,Rural area"
2,Lund_02556,Tree,Nature,Vegetation,Natural landscape,Nature reserve,Biome,Woody plant,Plant,Botany,Rock,Rinnebick Gorge : H,Q Ani Vera, Aug 2017,"Tree,Nature,Vegetation,Natural landscape,Nature reserve,Biome,Woody plant,Plant,Botany,Rock"
3,Lund_01353,Landmark,Building,Architecture,Estate,Stately home,Sky,Tree,Monument,Mansion,National historic landmark,Lundagérd 9,Nadia Naji, Aug 2014,"Landmark,Building,Architecture,Estate,Stately home,Sky,Tree,Monument,Mansion,National historic landmark"
4,Lund_00832,Building,Estate,Mansion,Property,Palace,Official residence,Manor house,House,Classical architecture,Château,Lundagérd 9,@ Daniel Klein, Aug 2018,"Building,Estate,Mansion,Property,Palace,Official residence,Manor house,House,Classical architecture,Château"
5,Lund_02708,Sky,Vegetation,Hill,Grassland,Grass,Cloud,Meadow,Land lot,Rural area,Prairie,Klosteréingshdjden,Klosteréingshdjden, Aug 2016,"Sky,Vegetation,Hill,Grassland,Grass,Cloud,Meadow,Land lot,Rural area,Prairie"
6,Lund_02241,Sky,Tree,Grass,Cloud,Pole,Grassland,Event,Crowd,Lawn,Mountain,Lunds Pistolklubb,Jonas Ezzi, Aug 2017,"Sky,Tree,Grass,Cloud,Pole,Grassland,Event,Crowd,Lawn,Mountain"
7,Lund_00802,Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,Neighbourhood,Residential area,[TV T :,qf‘gu Kaveh Kamran, Aug 2017,"Urban area,City,Roof,Architecture,Building,Human settlement,Town,Metropolitan area,Neighbourhood,Residential area"
8,Lund_01549,Landmark,Sky,Architecture,Building,Medieval architecture,Church,Facade,Place of worship,Wall,Convent,Lundagérd 9,@ Rene Wagner, Aug 2017,"Landmark,Sky,Architecture,Building,Medieval architecture,Church,Facade,Place of worship,Wall,Convent"
9,Lund_00574,Building,Palace,Landmark,Classical architecture,Architecture,Official residence,Mansion,Presidential palace,Estate,Stately home,AB Tetra Pak c,a FN, Aug 2017,"Building,Palace,Landmark,Classical architecture,Architecture,Official residence,Mansion,Presidential palace,Estate,Stately home"
10,Lund_02741,Natural landscape,Body of water,Nature,Water,Vegetation,Natural environment,Bank,Nature reserve,River,Water resources,Nobbel6vs mosse,L 1T T, Aug 2014,"Natural landscape,Body of water,Nature,Water,Vegetation,Natural environment,Bank,Nature reserve,River,Water resources"
11,Lund_02474,Road,Tree,Grass,Land lot,Natural landscape,Shrub,Trail,Lane,Thoroughfare,Woody plant,,, Aug 2017,"Road,Tree,Grass,Land lot,Natural landscape,Shrub,Trail,Lane,Thoroughfare,Woody plant"
12,Lund_01747,Building,Architecture,Classical architecture,Landmark,Facade,Palace,Official residence,City,Metropolis,Presidential palace,Coop Konsum,J  Janus sobrzezeje, Aug 2018,"Building,Architecture,Classical architecture,Landmark,Facade,Palace,Official residence,City,Metropolis,Presidential palace"
13,Lund_01079,Landmark,Building,Mansion,Estate,Property,Palace,Architecture,Sky,Stately home,Official residence,Lundagérd,0 Joachim Maxein, Aug 2017,"Landmark,Building,Mansion,Estate,Property,Palace,Architecture,Sky,Stately home,Official residence"
14,Lund_00701,Classical architecture,Landmark,Architecture,Building,Facade,Palace,Château,City,House,Mansion,Lundagérd 9,@ Rene Wagner, Aug 2017,"Classical architecture,Landmark,Architecture,Building,Facade,Palace,Château,City,House,Mansion"
15,Lund_02451,Building,Fuel,Filling station,Retail,Vehicle,Convenience store,Gasoline,Business,Gas,,CircleK,"’I‘, Johan Carlsson", Aug 2017,
16,Lund_02191,Property,Building,House,Architecture,Town,Home,Brick,Facade,Tree,Real estate,Asylen,ﬁ BN PN R, Aug 2017,"Property,Building,House,Architecture,Town,Home,Brick,Facade,Tree,Real estate"
17,Lund_00892,Building,Property,Architecture,Landmark,House,Real estate,Facade,City,Courthouse,Commercial building,Scandic Star Lund,Z) zvi moses, Aug 2017,"Building,Property,Architecture,Landmark,House,Real estate,Facade,City,Courthouse,Commercial building"
18,Lund_01721,Building,Castle,Property,Fortification,Medieval architecture,Wall,Estate,Architecture,Stately home,Château,Lundagérd,""" Andi Varn Johani", Aug 2011,"Building,Castle,Property,Fortification,Medieval architecture,Wall,Estate,Architecture,Stately home,Château"
19,Lund_02496,Grass,Sport venue,Player,Team sport,Playground,Lawn,Ball game,Sports,Sports training,Sports equipment,Linero IP {,"@""‘ Staffan Slager", Aug 2016,"Grass,Sport venue,Player,Team sport,Playground,Lawn,Ball game,Sports,Sports training,Sports equipment"
20,Lund_00719,Landmark,Water,Fountain,Sky,Architecture,Garden,Botanical garden,Botany,Tree,Water feature,Lundagérd,S GEERS Wy, Aug 2018,"Landmark,Water,Fountain,Sky,Architecture,Garden,Botanical garden,Botany,Tree,Water feature"
21,Lund_00877,Landmark,Architecture,Tree,Building,Estate,House,Mansion,Lawn,Park,City,Stadsparken,C Carmelo Pellegri, Aug 2017,"Landmark,Architecture,Tree,Building,Estate,House,Mansion,Lawn,Park,City"
22,Lund_01787,Landmark,Sky,Tree,Garden,Architecture,Botany,Building,Grass,Steeple,Park,Lundagérd,Benjamin Kiintze, Aug 2018,"Landmark,Sky,Tree,Garden,Architecture,Botany,Building,Grass,Steeple,Park"
23,Lund_01287,Property,Building,Estate,House,Architecture,Mansion,Stately home,Manor house,Real estate,Tree,[T TV HTET 3 T,a Abubakar M, Aug 2017,"Property,Building,Estate,House,Architecture,Mansion,Stately home,Manor house,Real estate,Tree"
24,Lund_03147,Building,Commercial building,Architecture,Facade,Sky,Corporate headquarters,Mixed-use,Company,Headquarters,City,CircleK 9,Jill Miller, Aug 2017,"Building,Commercial building,Architecture,Facade,Sky,Corporate headquarters,Mixed-use,Company,Headquarters,City"
