Lund_01611,Town,Landmark,City,Building,Human settlement,Street,Architecture,Road,Neighbourhood,Plaza
Lund_01120,Landmark,Medieval architecture,Architecture,Building,Sky,Place of worship,Church,Facade,Classical architecture,Historic site
Lund_01374,Property,House,Cottage,Building,Roof,Home,Farmhouse,Rural area,Architecture,Real estate
Lund_02600,Tree,Green,Property,Residential area,Road,Public space,Daytime,Grass,Asphalt,Woody plant
Lund_00360,Building,Estate,Property,Mansion,Stately home,Château,Architecture,Manor house,Historic house,Medieval architecture
Lund_02357,Nature reserve,Land lot,Cottage,Rural area,Roof,Grass,Yard,Farm,Backyard,Shed
Lund_00981,Garden,Botanical garden,Tree,Botany,Park,Grass,Shrub,Leaf,Spring,Plant
Lund_02161,Building,Architecture,Town,Landmark,Neighbourhood,Facade,City,Mixed-use,Medieval architecture,Apartment
Lund_01805,Sky,Property,Estate,Landmark,House,Architecture,Building,Grass,Cloud,Home
Lund_00474,Castle,Medieval architecture,Building,Property,Architecture,Château,Stately home,Estate,Wall,Fortification
Lund_02497,Natural landscape,Geological phenomenon,Land lot,Rural area,Grass,Pasture,Bank,Ditch,Hill,Soil
Lund_02579,Nature,Natural landscape,Land lot,Tree,Atmospheric phenomenon,Natural environment,Pasture,Grass,Nature reserve,Rural area
Lund_02806,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,Cathedral,Historic site
Lund_03015,Supermarket,Retail,Product,Building,Grocery store,Convenience store,Outlet store,Aisle,Marketplace,Inventory
Lund_00296,Landmark,Sky,Property,Architecture,Building,House,Town,Tree,Estate,Urban area
Lund_00646,Body of water,Water resources,Stream,Watercourse,Natural landscape,Waterway,Water,River,Stream bed,Arroyo
Lund_00903,Building,Landmark,Property,Estate,Architecture,Mansion,Palace,Classical architecture,Official residence,House
Lund_01571,Landmark,Building,Mansion,Architecture,Estate,Stately home,Botany,Palace,Spring,House
Lund_00774,Building,Classical architecture,Landmark,Architecture,Property,House,Mansion,Estate,Facade,Historic house
Lund_02556,Tree,Nature,Vegetation,Natural landscape,Nature reserve,Biome,Woody plant,Plant,Botany,Rock
