a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00747,Landmark,Building,Architecture,Medieval architecture,Place of worship,Church,Sky,Cathedral,Facade,,[T L He 1 BT,6 Markus Krysande, Jul 2018
Lund_00074,Landmark,Architecture,Building,Tree,Church,Tower,,,,,[T J,. Nenad Fatic, Jul 2017
Lund_01775,Property,House,Building,Estate,Architecture,Home,,,,,Kulturen,@ DLCI@L T, Jul 2017
Lund_02083,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd 9,@ T4, Jul 2017
Lund_02378,Swimming pool,Leisure,Leisure centre,Water,,,,,,,Killbybadet b,M Maria Ponsler, Jul 2018
Lund_01956,Landmark,Architecture,Building,Town,City,,,,,,Lund Cathedral,Per-Inge Strém, Jul 2017
Lund_01096,Landmark,Building,Architecture,Sky,Steeple,City,Spire,Tower,Town,Human settlement,Lundagérd 9,@ DLCI@L T, Jul 2017
Lund_02329,Plant community,Soil,Shrubland,,,,,,,,Rinnebick Gorge 2,Tomas Kulle, Jul 2018
Lund_00634,Building,Architecture,Estate,Water,,,,,,,L (LT T,@ Robert Jacobser, Jul 2017
Lund_01785,Property,House,Building,Home,Real estate,Architecture,,,,,Scandic Star Lund,Conny Flink, Jul 2018
Lund_02341,Sky,Residential area,Property,Cloud,House,Home,Building,Architecture,,,Klostergérdens IP,M  Minghua Zhang, Jul 2017
Lund_01203,Classical architecture,Building,Architecture,Landmark,Facade,Palace,,,,,Lundagérd 9,@ DLCI@L T, Jul 2017
Lund_01220,Building,Property,Estate,Architecture,Stately home,Palace,Human settlement,City,Campus,,Lundagérd,@ Juca Felix Galino, Jul 2016
Lund_01227,Architecture,Landmark,Medieval architecture,Building,Place of worship,Cathedral,Classical architecture,Gothic architecture,Sky,Facade,[T T o1 T 1T,A Abdo Fadl, Jul 2017
Lund_02678,Vegetation,Grass,Natural environment,Natural landscape,Nature reserve,Property,Tree,Garden,Biome,Botany,L TG 8,g Mats Lund, Jul 2016
Lund_00293,Landmark,Architecture,Building,Sky,Classical architecture,Medieval architecture,Place of worship,Church,Cathedral,,Lundagérd 9,= Norbert Derbl, Jul 2018
Lund_01576,Property,Estate,Building,Mansion,Architecture,Stately home,,,,,Lundagérd ¢,@ Ludovic Barth, Jul 2015
Lund_02591,,,,,,,,,,,MAX IV Laboratory,S;. Bjarne Rosengrel, Jul 2016
Lund_00436,Landmark,Architecture,Building,Tree,Estate,Sky,,,,,Lundagérd,"C"":} Leszek A Gasien", Jul 2017
Lund_01533,Landmark,Building,Medieval architecture,Architecture,Classical architecture,Place of worship,Cathedral,Gothic architecture,Tower,Facade,LT T o1 T T T,Furkan Yayla, Jul 2017
Lund_01258,Garden,Estate,Sky,Grass,Building,House,Botany,,,,Lundagérd,[T (T ), Jul 2017
Lund_01055,Landmark,Architecture,Building,Medieval architecture,Classical architecture,Place of worship,Historic site,Church,Facade,Sky,Lund Cathedral,M Michael Bippes, Jul 2017
Lund_00990,Medieval architecture,Building,Landmark,Town,Church,Architecture,Wall,,,,Lundagérd,"C"":} Leszek A Gasien", Jul 2017
Lund_02431,Freshwater marsh,Natural environment,Natural landscape,Wetland,Marsh,Nature reserve,Fen,Tidal marsh,Salt marsh,Bog,Nobbel6vs mosse,i\ 1T T, Jul 2014
Lund_02185,Natural landscape,Nature,Reflection,Water,Sky,Tree,Natural environment,Bank,Cloud,River,L TR TR,RELEESLL TS (], Jul 2016
Lund_01137,Town,Public space,Town square,City,Human settlement,Plaza,Sky,Building,,,Stortorget Restaurar,ﬂ Dara Banna, Jul 2018
Lund_02229,Body of water,Natural landscape,Freshwater marsh,Natural environment,Water resources,Nature,Nature reserve,Vegetation,Water,Marsh,|G AT,L Bengt Jiirs, Jul 2014
Lund_01140,Building,Landmark,Architecture,Property,Classical architecture,House,Mansion,,,,Lundagérd 9,Vbntr Vbntr, Jul 2018
Lund_01951,Building,Tower block,Metropolitan area,Condominium,Architecture,Human settlement,City,Commercial building,Mixed-use,Residential area,Elite Hotel Ideon,Alexander Beliak, Jul 2017
Lund_01049,Landmark,Architecture,Building,Medieval architecture,Place of worship,Church,Sky,Tower,Classical architecture,,[T T o1 T T T,[T T o1 T T T, Jul 2014
Lund_02561,Natural landscape,Vegetation,Natural environment,Nature reserve,Prairie,Grass,Plant,Grass family,Plant community,Sky,L TR TR,vg Aymeric Rivollier, Jul 2018
Lund_02858,Classical architecture,Architecture,Landmark,Building,,,,,,,Lundagérd,LNl TP T NEEN T g, Jul 2018
Lund_01207,Estate,Château,Mansion,Building,Palace,Property,Stately home,Manor house,,,Lundagérd 9,Fred Tjgnngy, Jul 2017
Lund_02162,Landmark,Architecture,Building,Steeple,Sky,,,,,,[T T BRI,Anna Cismasu, Jul 2018
