a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02450,Property,House,Building,Chapel,Roof,Cottage,,,,,\E e L ET T T T,6 IR DL, Dec 2016
Lund_00094,Spire,Landmark,Architecture,Building,Steeple,Church,Place of worship,Medieval architecture,,,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_01403,Landmark,Architecture,Building,Medieval architecture,Tower,Church,Sky,Place of worship,,,Lund Cathedral,Mark Stevenson, Dec 2015
Lund_00837,Architecture,Landmark,Building,Medieval architecture,Place of worship,Church,Classical architecture,Cathedral,,,Lund Cathedral :,?ﬁ Mads Frimann, Dec 2015
Lund_02956,Bridge,,,,,,,,,,N[ AT T T,P =], Dec 2016
Lund_00053,Landmark,Architecture,Building,Town,Facade,City,Urban area,,,,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00148,Landmark,Sky,Architecture,Building,Town,Church,Cathedral,City,Urban area,,@ Mato Bosnjak,@ Mato Bosnjak, Dec 2015
Lund_01204,Building,Medieval architecture,,,,,,,,,Lundagérd,@ Rasmus Akergret, Dec 2015
Lund_00136,Spire,Steeple,Landmark,Church,Architecture,Building,Place of worship,Tree,,,‘ CeBpanuna [lyHi,‘ CeBpanuna [lyHi, Dec 2016
Lund_00021,Building,Landmark,Town,Architecture,Sky,City,Urban area,,,,[T 3,a Sylvia Beatriz, Dec 2017
Lund_00061,Landmark,Building,Town,Tree,Sky,Architecture,Water,,,,' (&1 EY T,' (&1 EY T, Dec 2016
Lund_01617,Sky,Landmark,Building,Architecture,Medieval architecture,Church,,,,,[T T o1 T T T,AtilaK, Dec 2017
Lund_01370,Aerial photography,Bird's-eye view,Architecture,,,,,,,,Stora Raby Kyrka,Kenton Knowles, Dec 2016
Lund_00173,Tree,Property,House,Town,Neighbourhood,Building,Urban area,Brick,Residential area,Architecture,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00158,Town,Building,Property,Street,Lane,Road,Architecture,House,Urban area,Neighbourhood,' (&1 EY T,' (&1 EY T, Dec 2016
Lund_00066,Landmark,Building,Town,Architecture,Grass,Property,Tree,Urban area,Brick,Neighbourhood,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_01821,Landmark,Sky,Architecture,Building,Spire,Daytime,Church,Medieval architecture,Wall,Tower,[T T o1 T T T,C » David Ekberg, Dec 2016
Lund_02453,Furniture,Bench,Tree,Table,Grass,Spring,,,,,Per Johans Park ¢,% Johan Linse, Dec 2017
Lund_02604,Natural landscape,Sky,Grassland,Natural environment,Pasture,Rural area,Grass,Line,Tree,Field,Nobbel6vs mosse,Nobbel6vs mosse, Dec 2016
Lund_00928,Building,Architecture,Landmark,Town,Facade,City,Human settlement,Medieval architecture,Urban area,,[T TV HTET 0 T,Claes Holm, Dec 2012
Lund_01460,Building,Architecture,Landmark,Medieval architecture,Classical architecture,,,,,,Lund Cathedral :,?ﬁ Mads Frimann, Dec 2015
Lund_00111,Building,Architecture,Town,Landmark,City,Property,Human settlement,Mixed-use,Urban area,Tree,' (&1 EY T,' (&1 EY T, Dec 2016
Lund_02509,Land lot,,,,,,,,,,Per Johan's Park pla,@ Johan Linse, Dec 2017
Lund_00110,Sky,Transport,Town,Public space,Mode of transport,Urban area,,,,,' (&1 EY T,' (&1 EY T, Dec 2016
Lund_03052,Water,,,,,,,,,,Per Johan's Park pla\,@ Johan Linse, Dec 2017
Lund_00081,Town,Street,Neighbourhood,Cobblestone,Human settlement,Yellow,City,Building,Road,Urban area,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_01496,Building,Architecture,Landmark,Medieval architecture,Classical architecture,,,,,,Lund Cathedral :,?ﬁ Mads Frimann, Dec 2015
Lund_01202,Building,Medieval architecture,,,,,,,,,Lundagérd,Rasmus Akergret, Dec 2015
Lund_00167,Landmark,Building,Architecture,Tree,Estate,,,,,,‘ CeBpanuHa [lyHi,‘ CeBpanuHa [lyHi, Dec 2016
Lund_02732,Sky,Natural landscape,Horizon,Grassland,Natural environment,Field,Grass,Atmospheric phenomenon,Plain,Line,Nobbel6vs mosse,Nobbel6vs mosse, Dec 2016
Lund_01977,Town,City,Landmark,Human settlement,Public space,Architecture,Building,,,,Lund Tourist Center,Lund Tourist Center, Dec 2016
Lund_00015,Building,Property,House,Architecture,Town,,,,,,‘ (&1 EY T,‘ (&1 EY T, Dec 2016
Lund_00351,Classical architecture,Building,Landmark,Architecture,Palace,Mansion,Official residence,Stately home,,,Lundagérd,@ Jarek Kedzierski, Dec 2016
Lund_02477,Building,Commercial building,Architecture,,,,,,,,,, Dec 2016
Lund_02783,Natural landscape,Atmospheric phenomenon,Fog,Land lot,Pasture,Natural environment,Grassland,Tree,Grass,Sky,|G AT,|G AT, Dec 2016
Lund_00156,Water,Town,Sky,City,Landmark,Reflection,Waterway,Human settlement,Evening,Public space,Lund,q} houzan suliman, Dec 2016
Lund_00177,Spire,Steeple,Tree,Sky,Church,,,,,,‘ CeBpanuna [yHi,‘ CeBpanuna [yHi, Dec 2016
